Revenda;Bairro;Produto;Valor de Venda;Bandeira
AUTO POSTO BASE AÉREA LTDA.;BACACHERI;GASOLINA ADITIVADA;5,399;IPIRANGA
AUTO POSTO BASE AÉREA LTDA.;BACACHERI;ETANOL;3,899;IPIRANGA
AUTO POSTO BASE AÉREA LTDA.;BACACHERI;GASOLINA;5,199;IPIRANGA
AUTO POSTO RABAT LTDA;VILA TINGUI;ETANOL;3,799;BRANCA
AUTO POSTO RABAT LTDA;VILA TINGUI;GASOLINA;5,149;BRANCA
AUTO POSTO VICENTE MACHADO LTDA;CENTRO;GASOLINA ADITIVADA;5,399;BRANCA
AUTO POSTO VICENTE MACHADO LTDA;CENTRO;ETANOL;3,999;BRANCA
AUTO POSTO VICENTE MACHADO LTDA;CENTRO;GASOLINA;5,299;BRANCA
AUTO POSTO AHU LTDA;SAO LOURENCO;GASOLINA ADITIVADA;5,249;BRANCA
AUTO POSTO AHU LTDA;SAO LOURENCO;ETANOL;3,899;BRANCA
AUTO POSTO AHU LTDA;SAO LOURENCO;GASOLINA;5,149;BRANCA
AUTO POSTO ERASTO GAERTNER LTDA;BACACHERI;GASOLINA ADITIVADA;5,399;RAIZEN
AUTO POSTO ERASTO GAERTNER LTDA;BACACHERI;ETANOL;3,899;RAIZEN
AUTO POSTO ERASTO GAERTNER LTDA;BACACHERI;GASOLINA;5,199;RAIZEN
AUTO POSTO LUA CRESCENTE LTDA.;SANTA CANDIDA;GASOLINA ADITIVADA;5,549;IPIRANGA
AUTO POSTO LUA CRESCENTE LTDA.;SANTA CANDIDA;ETANOL;4,199;IPIRANGA
AUTO POSTO LUA CRESCENTE LTDA.;SANTA CANDIDA;GASOLINA;5,399;IPIRANGA
AUTO POSTO PETRO IGUAÇU LTDA.;CENTRO;GASOLINA ADITIVADA;5,47;RAIZEN
AUTO POSTO PETRO IGUAÇU LTDA.;CENTRO;ETANOL;3,999;RAIZEN
AUTO POSTO PETRO IGUAÇU LTDA.;CENTRO;GASOLINA;5,27;RAIZEN
DUCATI AUTO POSTO LTDA;BOA VISTA;GASOLINA ADITIVADA;5,499;IPIRANGA
DUCATI AUTO POSTO LTDA;BOA VISTA;ETANOL;3,999;IPIRANGA
DUCATI AUTO POSTO LTDA;BOA VISTA;GASOLINA;5,299;IPIRANGA
AUTO POSTO PATMOS LTDA;BARRERINHA;GASOLINA ADITIVADA;5,499;PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO PATMOS LTDA;BARRERINHA;ETANOL;4,099;PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO PATMOS LTDA;BARRERINHA;GASOLINA;5,299;PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO SCALA LTDA;BOM RETIRO;GASOLINA ADITIVADA;5,499;PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO SCALA LTDA;BOM RETIRO;ETANOL;4,099;PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO SCALA LTDA;BOM RETIRO;GASOLINA;5,299;PETROBRAS DISTRIBUIDORA S.A.
